HiringAgency,jobLink,jobNum,Job_ID,Num_of_Positions,Business_Title,Title_Code_No,Level,Civil_Service_Title,Title_Classification,Job_Category,Proposed_Salary_Range,Career_Level,Work_Location,Division_Work_Unit,Posted,Post_Until
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440024&PostingSeq=1&,440024,440024,2,"Payroll Auditor, Bureau of Controller",40510,01,ACCOUNTANT,Competitive,"Finance, Accounting, & Procurement","$ 50,217.00 - $ 68,234.00 (Annual)",Experienced (non-manager),42-09 28th Street,Payroll,05/07/2020,09/01/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440109&PostingSeq=1&,440109,440109,1,Personnel Coordinator,10124,02,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive,"Health, Public Safety, Inspections, & Enforcement","$ 51,511.00 - $ 70,200.00 (Annual)",Experienced (non-manager),"125 Worth Street, Nyc",Food Safety & Community Sanit,05/07/2020,09/04/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440090&PostingSeq=1&,440090,440090,1,"Quality Improvement Specialist, Mental Health/Assisted Outpatient Treatment",1006C,00,HEALTH SERVICES MANAGER NON MA,Competitive,Health,"$ 56,990.00 - $ 73,332.00 (Annual)",Experienced (non-manager),42-09 28th Street,MH - Assisted out Treatment,05/07/2020,09/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439984&PostingSeq=1&,439984,439984,1,Medical Administrative Support,51191,02,PUBLIC HEALTH ADVISER,Competitive,Health,"$ 47,155.00 - $ 54,228.00 (Annual)",Experienced (non-manager),"1 Court Square, Queens",SH Medical,05/04/2020,09/01/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439987&PostingSeq=1&,439987,439987,1,"Outreach Representative, Center for Health Equity and Community Wellness",56058,00,COMMUNITY COORDINATOR,Non-Competitive,Health,"$ 54,100.00 - $ 66,875.00 (Annual)",Experienced (non-manager),42-09 28th Street,Chronic Disease Prevention,05/04/2020,09/01/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439985&PostingSeq=1&,439985,439985,1,Public Health Adviser,51195,01,PUBLIC HEALTH ADVISER (SCHOOL,Competitive,Health,$     21.41 - $     24.62 (Hourly),Experienced (non-manager),"715 Ocean Terrace, Staten Is N",SH Nursing Services & Prof Dev,05/04/2020,09/01/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439974&PostingSeq=1&,439974,439974,1,"Supervising Public Health Nurse, Bureau of School Health",51011,02,PUBLIC HEALTH NURSE,Competitive,Health,"$ 79,039.00 - $ 79,039.00 (Annual)",Experienced (non-manager),"1 Fordham Plaza, Bronx",SH Nursing Services & Prof Dev,05/04/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439920&PostingSeq=1&,439920,439920,1,Data Analyst,51181,01,PUBLIC HEALTH EPIDEMIOLOGIST,Competitive,Health,"$ 55,473.00 - $ 68,897.52 (Annual)",Experienced (non-manager),"1 Court Square, Queens",TB Clinic Operations,05/01/2020,08/27/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439972&PostingSeq=1&,439972,439972,1,"NYC MRC Coordinator, Bureau of Policy, Community Resilience and Response",51197,01,PUBLIC HEALTH EMERGENCY PREPAR,Non-Competitive,Health,"$ 48,612.00 - $ 66,960.00 (Annual)",Experienced (non-manager),42-09 28th Street,"Policy, Resilience & Response",05/01/2020,08/29/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439926&PostingSeq=1&,439926,439926,1,"Operational Project Manager, Bureau of Administration, FCHA",12627,00,ASSOCIATE STAFF ANALYST,Competitive,Health,"$ 65,731.00 - $ 80,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,FCH Administration,05/01/2020,08/28/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439947&PostingSeq=1&,439947,439947,1,"Public Health Inspector, Bureau of Food Safety and Community Sanitation",31215,01,PUBLIC HEALTH SANITARIAN,Competitive,Health,"$ 45,722.00 - $ 52,580.00 (Annual)",Experienced (non-manager),"125 Worth Street, Nyc",Food Safety & Community Sanit,05/01/2020,08/29/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439929&PostingSeq=1&,439929,439929,1,"Referral Specialist, Bureau of Early Intervention",10251,03,CLERICAL ASSOCIATE,Competitive,Health,"$ 36,390.00 - $ 41,848.00 (Annual)",Experienced (non-manager),"135 Canal Street,Staten Island",Early Intervention,05/01/2020,08/28/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439971&PostingSeq=1&,439971,439971,1,Senior Quality Management Specialist,21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,Health,"$ 75,504.00 - $ 86,830.00 (Annual)",Experienced (non-manager),42-09 28th Street,HIV Care & Treatment,05/01/2020,08/29/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439727&PostingSeq=1&,439727,439727,1,"Supply Chain Logistics Manager, Bureau of Emergency Field Operations",51197,02,PUBLIC HEALTH EMERGENCY PREPAR,Non-Competitive,Health,"$ 63,952.00 - $ 91,800.00 (Annual)",Experienced (non-manager),42-09 28th Street,EPR-EMR. Field Ops,05/01/2020,08/20/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439905&PostingSeq=1&,439905,439905,1,"Preventative Maintenance Oiler, Bureau of Facilities Planning and Administrative Services",91628,00,OILER,Competitive,Building Operations & Maintenance,$    478.00 - $    478.00 (Daily),Experienced (non-manager),"455 First Ave., N.Y.",Health Support Services,04/29/2020,08/27/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439909&PostingSeq=1&,439909,439909,1,"Referral Unit Assistant, Bureau of Early Intervention",10251,03,CLERICAL ASSOCIATE,Competitive,Health,"$ 36,390.00 - $ 45,000.00 (Annual)",Experienced (non-manager),16 Court Street,Early Intervention,04/29/2020,08/27/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439863&PostingSeq=1&,439863,439863,1,Program Evaluation Specialist,5100C,02,SPEC CONSULTANT (MHSS) (AL 2),Competitive,Health,"$ 71,379.00 - $ 82,086.00 (Annual)",Experienced (non-manager),42-09 28th Street,Clinical Affairs - OPRE,04/28/2020,08/25/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439856&PostingSeq=1&,439856,439856,1,Survey Statistician,21744,03,CITY RESEARCH SCIENTIST,Non-Competitive,Health,"$ 84,468.00 - $111,003.00 (Annual)",Experienced (non-manager),42-09 28th Street,Bureau of Epidemiology Srvcs,04/28/2020,08/22/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439872&PostingSeq=1&,439872,439872,4,Triage Coordinator,5100C,02,SPEC CONSULTANT (MHSS) (AL 2),Competitive,"Constituent Services & Community Programs, Health, Social Services","$ 71,379.00 - $ 82,086.00 (Annual)",Experienced (non-manager),42-09 28th Street,MHY Hlth Prom Just IMP POP,04/28/2020,08/25/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439859&PostingSeq=1&,439859,439859,1,Vision Assistant,81815,00,PUBLIC HEALTH ASSISTANT (SCHOO,Competitive,Health,$     17.57 - $     20.21 (Hourly),Experienced (non-manager),"1 Court Square, Queens",SH Vision,04/28/2020,08/22/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439865&PostingSeq=1&,439865,439865,1,Water Systems Analyst,21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,Health,"$ 75,504.00 - $ 93,776.40 (Annual)",Experienced (non-manager),"1 Court Square, Queens",Public Health Engineering,04/28/2020,08/25/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439741&PostingSeq=1&,439741,439741,1,ASHR Field Tech,13611,01,COMPUTER ASSOC (TECH SUPP),Competitive,Health,"$ 49,850.00 - $ 57,327.00 (Annual)",Experienced (non-manager),"28-11 Queens Plaza No., L.I.C.",SH MIS,04/23/2020,08/20/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439666&PostingSeq=1&,439666,439666,1,Chief of Molecular Diagnostics,21744,4A,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 94,283.00 - $122,290.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Microbiology,04/23/2020,08/18/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439681&PostingSeq=1&,439681,439681,1,Environmental Specialist,21744,01,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 64,140.00 - $ 77,609.00 (Annual)",Student,"1 Court Square, Queens",Public Health Engineering,04/23/2020,08/18/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439679&PostingSeq=1&,439679,439679,1,"Nursing Staff Development Coordinator, Bureau of School Health",51011,03,PUBLIC HEALTH NURSE,Competitive,Health,"$ 84,252.00 - $ 84,252.00 (Annual)",Experienced (non-manager),"1 Court Square, Queens",SH Nursing Services & Prof Dev,04/23/2020,08/18/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439682&PostingSeq=1&,439682,439682,1,"Physician, Bureau of Sexually Transmitted Infections",53040,02,CITY MEDICAL SPECIALIST (PART-,Non-Competitive,Health,$     73.37 - $     78.59 (Hourly),Experienced (non-manager),295 Flatbush Ext Brooklyn,STI Medical Services,04/23/2020,08/18/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439686&PostingSeq=1&,439686,439686,1,"Public Health Advisor, Bureau of HIV",51191,02,PUBLIC HEALTH ADVISER,Competitive,Health,"$ 47,155.00 - $ 54,228.00 (Annual)",Experienced (non-manager),42-09 28th Street,HIV EPI & Field Svces,04/23/2020,08/19/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439592&PostingSeq=1&,439592,439592,1,Chief of Molecular Microbiology,21744,4A,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 94,283.00 - $122,290.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Environmental Sciences        ,04/22/2020,08/14/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438946&PostingSeq=1&,438946,438946,2,Medicolegal Investigator I,53299,01,MEDICOLEGAL INVESTIGATOR (OCME,Non-Competitive,Health,"$ 73,875.00 - $ 85,863.00 (Annual)",Experienced (non-manager),421 East 26th Street NY NY,OCME-Operations,04/22/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439619&PostingSeq=1&,439619,439619,1,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",21513,02,LABORATORY MICROBIOLOGIST,Competitive,Health,"$ 52,902.00 - $ 63,000.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Microbiology,04/20/2020,08/15/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439600&PostingSeq=1&,439600,439600,1,Associate Director of Assay Development,21744,4B,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 96,772.00 - $140,660.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",PHL Admin & Lab Support,04/17/2020,08/14/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439599&PostingSeq=1&,439599,439599,5,"Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory",21514,03,ASSOCIATE LABORATORY MICROBIOL,Competitive,Health,"$ 77,828.00 - $ 90,000.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Microbiology,04/17/2020,08/14/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439608&PostingSeq=1&,439608,439608,1,Vision Assistant,81815,00,PUBLIC HEALTH ASSISTANT (SCHOO,Competitive,Health,$     17.57 - $     20.21 (Hourly),Experienced (non-manager),"1 Court Square, Queens",SH Vision,04/17/2020,08/14/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439561&PostingSeq=1&,439561,439561,1,Environmental Specialist,21744,01,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 64,140.00 - $ 77,609.00 (Annual)",Entry-Level,"1 Court Square, Queens",Public Health Engineering,04/15/2020,08/13/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439562&PostingSeq=1&,439562,439562,1,Principal Administrative Associate,10124,01,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive,"Health, Public Safety, Inspections, & Enforcement",$     25.20 - $     36.91 (Hourly),Entry-Level,"125 Worth Street, Nyc",Food Safety & Community Sanit,04/15/2020,08/13/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439527&PostingSeq=1&,439527,439527,1,Public Health Inspector,31215,01,PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement","$ 45,722.00 - $ 52,580.00 (Annual)",Entry-Level,"125 Worth Street, Nyc",Food Safety & Community Sanit,04/15/2020,08/12/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439541&PostingSeq=1&,439541,439541,1,Public Health Inspector,31215,01,PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement","$ 45,722.00 - $ 52,580.00 (Annual)",Entry-Level,"125 Worth Street, Nyc",Food Safety & Community Sanit,04/15/2020,08/13/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439554&PostingSeq=1&,439554,439554,1,"Timekeeper, Bureau of Controller",10124,01,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive,"Finance, Accounting, & Procurement","$ 46,037.00 - $ 58,238.00 (Annual)",Experienced (non-manager),42-09 28th Street,Payroll,04/15/2020,08/13/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439530&PostingSeq=1&,439530,439530,1,Public Health Inspector,31215,01,PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement","$ 45,722.00 - $ 52,580.00 (Annual)",Entry-Level,"125 Worth Street, Nyc",Food Safety & Community Sanit,04/14/2020,08/12/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439385&PostingSeq=1&,439385,439385,1,"Deputy Director – NYC Safe, Mental Health",1006C,00,HEALTH SERVICES MANAGER NON MA,Competitive,Health,"$ 56,990.00 - $100,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,Mental Health,04/13/2020,08/06/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439387&PostingSeq=1&,439387,439387,1,"Supervisor, Treatment Services, Mental Health",1006C,00,HEALTH SERVICES MANAGER NON MA,Competitive,Health,"$ 56,990.00 - $ 92,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,Mental Health,04/13/2020,08/06/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439379&PostingSeq=1&,439379,439379,1,"City Pest Control Aide, Bureau of Veterinary and Pest Control Services",90643,00,CITY PEST CONTROL AIDE,Labor,Health,"$ 31,377.00 - $ 36,083.00 (Annual)",Experienced (non-manager),"12-26 31St Avenue Queens, N.Y.",Pest Control Services,04/10/2020,08/06/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439442&PostingSeq=1&,439442,439442,1,Coordinator of Laboratory Information Systems,21744,4A,CITY RESEARCH SCIENTIST,Non-Competitive,Health,"$ 94,283.00 - $122,290.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Virology,04/10/2020,08/08/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439443&PostingSeq=1&,439443,439443,1,Cross Training Coordinator,21744,4A,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 94,283.00 - $122,290.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Virology,04/10/2020,08/08/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436731&PostingSeq=1&,436731,436731,1,"Data Analyst, Tuberculosis Control",21744,03,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 84,468.00 - $111,003.00 (Annual)",Experienced (non-manager),42-09 28th Street,TB Surveillance & Epidemiology,04/10/2020,08/04/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439348&PostingSeq=1&,439348,439348,1,"Director of Asthma Initiatives, Center for Health Equity and Community Wellness/Bureau of Harlem Neighborhood Health",1003C,00,ADMINISTRATIVE PUBLIC HEALTH N,Competitive,Health,"$ 58,700.00 - $120,000.00 (Annual)",Experienced (non-manager),161-169 East 110 Street,CHECW-HRLM NEIGHBORHOOD HLTH.,04/10/2020,08/06/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439441&PostingSeq=1&,439441,439441,1,"IT Product Manager, Bureau of IT Strategy and Project Management",95713,00,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive,Health,"$ 75,000.00 - $ 97,623.00 (Annual)",Experienced (non-manager),42-09 28th Street,IT Strategy Project Management,04/10/2020,08/08/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439357&PostingSeq=1&,439357,439357,1,"Java Developer, Bureau of Application Development and Database Administration",95713,00,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive,Health,"$ 75,000.00 - $ 94,244.00 (Annual)",Experienced (non-manager),"42 Broadway, N.Y.",App. Dev. & DB Administration,04/10/2020,08/06/2020
